text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
"Alternatif destinasi wisata di kota pempek Palembang, hati2 dengan pasukan monyet ya gaes, lebih baik klo bawa makan, makan di mobil atau tempat makan yg disediakan. Ada lokasi swafoto yg bagus loh..",positif,none,none,netral,none,none
Alternatif hiburan di kota palembang. Tempatnya enak buat nongkrong dan piknik,none,none,none,positif,none,none
"Alternatif lain kalau mau berwisata alam, sambil lihat monyet monyet liar. Lumayanlah... buat kita orang Palembang",netral,none,none,netral,none,none
Alternatif rekreasi keluarga,none,none,none,netral,none,none
Alternatif terbaik rekreasi alami untuk keluarga,none,none,none,positif,none,none
Aman,none,none,none,positif,none,none
Aman bersih dan indah,none,none,none,positif,none,none
Aman dan nyaman...,none,none,none,positif,none,none
"Aman, nyaman, 'asri, buat liburan",none,none,none,positif,none,none
"aman, nyaman, sejuk, indah, taman di pusat kota",none,none,none,positif,none,none
"Amazing.... bagus buat kawan2 yg butuh wisata hutan di palembang, pegawai dan petugas ramah dan baik.",none,none,none,positif,none,positif
Anak anak pengen kesini yaaa kita turutin 😁😁 sebenernya disini Tamannya tidak terawat Lagii ... 😆🙄😪 …,none,none,none,negatif,none,none
Anda,none,none,none,none,none,none
Anda akan disuguhkan atraksi monyet di alam liarnya... Sangat menghibur hehehe,positif,none,none,none,none,none
"Andai dikelola dengan baik tempat ini bisa jadi destinasi wisata yg spectakuler dan mendongkrak pendapatan daerah, coba belajar dari kota Batu Malang",none,none,none,netral,none,none
apakah RWA PUNTI KAYU sdh dibuka untuk sekarang ini,none,none,none,none,none,none
asek,none,none,none,positif,none,none
Asik,none,none,none,positif,none,none
Asik buat go green,none,none,none,positif,none,none
"Asik buat liburran, ma kluarga",none,none,none,positif,none,none
Asik nya main di punti kayu... Udah banyak perubahan,none,none,none,positif,none,none
Asik untuk bersantai bareng keluarga,none,none,none,positif,none,none
Asik untuk menghilangkan penat dgn keluarga..,none,none,none,positif,none,none
Asik utk tmpt wisata,none,none,none,positif,none,none
Asik 🔥 …,none,none,none,positif,none,none
Asli topa banget,none,none,none,positif,none,none
Asri,none,none,none,positif,none,none
"Asri dan nyaman, cuma kurang pengelolaan",none,none,none,netral,none,none
"Asri, tempat yang sejuk di tengah kota ..",none,none,none,positif,none,none
Asri.. Seru hutan di tengah kota,none,none,none,positif,none,none
Asri.... Tapi agak kurang terawat..,none,none,none,negatif,none,none
Asrik tempatnya.masih seperti hutan segar udaranya,none,none,none,positif,none,none
Asyiiik utk bermain klrga,none,none,none,positif,none,none
Asyik,none,none,none,positif,none,none
"Asyik wisata alam di palembang, bayarnya agak kerasa sih, karena fasilitas didalam kayaknya masih recovery abis covid... Asyik overall, oya jgn pake celana pendek kalo malamnya ujan, lumayan donor darah ke nyamuk alas 😁😁😁👍",none,netral,none,positif,netral,none
Atas,none,none,none,none,none,none
"Ayo Mari Merubah Masa Depan Kalian Belajar Lah Di LPK SBIJ PALEMBANG, Ayo Semangat Untuk Belajar Bahasa Jepang Dan Sensei"" Disini Pada Ramah, Baik,Dan Menyenangkan🇯🇵🎌 …",none,none,none,none,none,none
Bagi pengunjung tolong buang sampah pada tempatnya..,none,none,none,negatif,none,none
"Bagud, namun hewan-hewannya hanya sedikit",negatif,none,none,netral,none,none
Bagus,none,none,none,positif,none,none
"Bagus ,nyaman ,dan kebersihannya bener"" di jaga",none,none,none,positif,none,none
Bagus alami hanya sayang banyak monyet liar yang menggangu apalagi jika kita bawa makanan mereka berani mencuri,negatif,none,none,netral,none,none
bagus banget,none,none,none,positif,none,none
BAGUS BANGET ENAK,none,none,none,positif,none,none
Bagus banget wisata alamnya,none,none,none,positif,none,none
Bagus banyak pohon pinus,positif,none,none,positif,none,none
Bagus benget untuk jadi tempat rekreasi bersama keluarga 😊 …,none,none,none,positif,none,none
Bagus bersih dan sejuk,none,none,none,positif,none,none
Bagus bersih tapi mahal dikit-dikit bayar.. habis la uang,none,none,none,netral,negatif,none
Bagus buat anak kecil mengenal alam,none,none,none,positif,none,none
Bagus buat liburan keluarga tempaty bersih dan menyenagkan,none,none,none,positif,none,none
"Bagus buat piknik bareng temen, keluarga... foto-foto juga cakep cakep pasti dengan latar pepohonan tinggi, musholah dimana-mana.. enak kalo mau sholat. Minusnya ga banyak tong sampah yang tersedia di setiap tempat jadi agak repot aja mau bawa sampahnya kemana-mana (Harus tanggung jawab sama sampah masing2 yaa). Minus 1 lagi, monyetnya banyak banget🥲 suka takut kalo tiba2 segerombolan deketin.. saran buat pihak punti kayu kalo bisa monyetnya dimasukin ke kandang yang besar dan memungkinkan buat mereka main disana.. jadi ga berkeliaran..",netral,netral,none,netral,none,none
Bagus buat referensi belajar anak. Wilayah asri dan nyaman. Tapi tolong perhatikan bangunan yg blm digunakan/trrbengkalai. Jgn jd kendala nantinya krna kelihatan kotor,none,none,none,netral,none,none
Bagus dan indah,none,none,none,positif,none,none
Bagus dan menyenangkan udah lama gak kesana kalau lagi pandemi begini apa sajah ya syarat masuknya,none,none,none,positif,none,none
Bagus dan nyaman,none,none,none,positif,none,none
"Bagus dan nyaman, sayangnya pas masuk bagian hewan, banyak hewan yang gak terawat dengan baik. Kasian liat hewan-hewannya.",negatif,none,none,netral,none,none
bagus dan nyman,none,none,none,positif,none,none
Bagus dingin enak untuk nenangin suasana tapi gak ada banyak hewan seperti dulu lagi,negatif,none,none,netral,none,none
Bagus direkomendasikan,none,none,none,positif,none,none
Bagus harga tiket tergantung hari Dg harga 40.000 sdah bisa memasuki semua kawasan sayang nya saya cuma memasuki beberapa kawasan karna sdah capek muter 😁,none,none,none,positif,netral,none
Bagus juga Buat acara camping bareng klrga atau teman dsini,none,none,none,positif,none,none
Bagus nyaman bnyk monyet ekor panjang,netral,none,none,positif,none,none
Bagus nyaman tempatnya,none,none,none,positif,none,none
bagus sekali,none,none,none,positif,none,none
Bagus sekali !!!,none,none,none,positif,none,none
"Bagus sekali untuk alkena,foto2 keluarga,piknik keluarga dan recommended buat yg suka kesejukan alam dipenuhi pohon2",positif,none,none,positif,none,none
Bagus sekali untuk edukasi anak2. Hanya saja binatang aslinya tinggal sedikit. Perlu ditambah binatangnya biar lebih bagus.,negatif,none,none,netral,none,none
Bagus sekarang tempatnya..,none,none,none,positif,none,none
"Bagus sih, tp kurang terawat. HTM 10k, klo mau ke tempat lain ada HTM lg 10k/tempat",none,none,none,netral,netral,none
Bagus skg punti kayu taman wisata,none,none,none,positif,none,none
Bagus Spot Tapi Hewannya Cuma Ada Monyet Doang Jadi Kurang Menarik,negatif,none,none,netral,none,none
Bagus tapi binatangnya kurang terawat,negatif,none,none,netral,none,none
Bagus tapi hewannya agak kurang terawat,negatif,none,none,netral,none,none
"Bagus tapi kurang ada perawatan, kalau bisa dikelola lg agar menjadi obyek wisata andalan sumsel",none,none,none,netral,none,none
Bagus tapi perlu lebih banyak perbaikan dan pemeliharaan. Sampah dimana-mana dan beberapa fasilitas seperti toilet dan tempat wisata perlu mendapat perhatian dari pihak pengelola.,negatif,negatif,none,netral,none,none
Bagus tapi sayang masih padang terawat dan terlalu banyak.distribusi setiap.masuk tempat nya seharusnya tiket hanya di pintu masuk aja dan setiap masuk sayang.kali di tiadakan tiket karena dari tiket masuk aja dijadikan satu biar taman wisata ini bisa rame,none,none,none,netral,none,none
bagus tempanya bisa lihat binatang dan juga bisa main panjat pohon gitu banyak tempat wisata lain di punti kaya kek kolam renang dll,positif,none,none,positif,negatif,none
Bagus tempat nya,none,none,none,positif,none,none
Bagus tempat nya rindang,none,none,none,positif,none,none
Bagus tempat wisata untuk keluarga,none,none,none,positif,none,none
bagus tempatnya,none,none,none,positif,none,none
"bagus tempatnya buat kumpul keluarga,teman,pasangan",none,none,none,positif,none,none
"Bagus tempatnya. Dan banyak pepohonan sehingga panas terik matahari tidak langsung terkena kulit dan membuat nyaman berada di punti kayu berlama-lama. Banyak juga wuhana permainannya, namun akan dikenakan biaya tambahan jika anda ingin bermain. Dan banyak terdapat view untuk photo juga yang bagus dan menarik. Sangat saya rekomendasikan bagi anda yang ingin datang kesini.",positif,none,none,positif,netral,none
bagus tmpt nya,none,none,none,positif,none,none
Bagus tuk liburan keluarga tapi kebersihan harus lebih di tingkatkan,none,none,none,netral,none,none
Bagus untuk berkumpul dgn keluarga dijadikan taman wisata dan piknik,none,none,none,positif,none,none
"Bagus untuk foto foto, cuman kurang perawatan untuk a Para satua di sana",negatif,none,none,positif,none,none
"Bagus untuk mengenal alam, tetapi sayang tidak terawat dan kurang terpelihara, hewan sudah punah hampir tidak ada lagi hanya menampilkan monumen saja, biaya masuk tiket terjangkau, kurangnya fasilitas yang lengkap untuk wisatawan, pemandu wisata yang kurang, fasilitas banyak rusak dan tak terpakai",negatif,negatif,none,netral,positif,none
Bagus untuk menyegarkan,none,none,none,positif,none,none
bagus untuk wisata edukasi dan penyejuk udara di tengah kota Palembang,none,none,none,positif,none,none
Bagus untuk wisata keluarga,none,none,none,positif,none,none
"Bagus utk liburan kluarga, banyak tempat foto"" dan bsa utk bersantai bersama kluarga. Suasana asri dan masih terjaga",positif,none,none,positif,none,none
"Bagus, apalagi objek wisata ditengah kota, jarang daerah lain punya. Semoga fasilitas , hewan hewannya serta tempat tempat selfie dibagusi lagi.",netral,netral,none,positif,none,none
"Bagus, asri, luas cuma mungkin agak kurang terkelola",none,none,none,netral,none,none
"Bagus, bnyak spot berfoto",positif,none,none,positif,none,none
"Bagus, cuman kebersihan lokasi perlu diperhatikan lagi",none,none,none,netral,none,none
"Bagus, hanya saja ada beberapa wahana yang kurang terawat, tingkatkan lagi ya",negatif,none,none,netral,none,none
"Bagus, keren, cantik",none,none,none,positif,none,none
"Bagus, masih alami, masih banyak monyetnya, tapi ngga ganggu kok,",netral,none,none,positif,none,none
"Bagus, memuaskan....",none,none,none,positif,none,none
"Bagus, namun kurang mendapatkan perhatian dalam perawatannya",none,none,none,netral,none,none
"Bagus, saya suka, jadi kayu apa aja semua ada disana, akhirx semua nama kayu say dah tahu...",positif,none,none,positif,none,none
"Bagus,,",none,none,none,positif,none,none
Bagus. Alangkah lebih bagus lagi kalau semua pengunjungnya bisa jaga kebersihan. :),none,none,none,negatif,none,none
Bagus. Tapi sayang pohonnya banyak yg mati,negatif,none,none,none,none,none
Bagus.. cuma sangat di sayangkan kalau tempat wisata kota Palembang yang menjadi kebanggaan Palembang ini sangat tidak di perhatikan,none,none,none,negatif,none,none
Bagus.. Nmun agak sepi,none,none,none,negatif,none,none
Bagus.. perawatan hewan yang agak kurang baik,negatif,none,none,none,none,none
Bagus.. Perlu peningkatan lebih maksimal lagi,none,none,none,negatif,none,none
Baguss,none,none,none,positif,none,none
Baguss..,none,none,none,positif,none,none
"bagusss, tp sayang monyetnya udah agak berkurang😭 …",negatif,none,none,netral,none,none
Baik,none,none,none,positif,none,none
Baik tuk outbond,none,none,none,positif,none,none
"Baik, namun baiknya jika ingin berwisata jangan di hari libur nasional karena sangat ramai",none,none,none,netral,none,none
"Baik, tp klu bs smua tmpt wahana smua sdh free..",none,none,none,netral,none,none
Banyak binatang yg terbengkalai,negatif,none,none,none,none,none
"Banyak binatang, tempatnya sejuk",positif,none,none,positif,none,none
Banyak copet berkeliaran dan mencari korban ngesex untuk diajak damai,none,none,none,negatif,none,none
Banyak fasilitas rusak.. Tempat tidak terawat.. Baik nya di rawat lagi,none,negatif,none,negatif,none,none
Banyak hiburan dan binatang2.banyak pemandangan yang cantik.kebanyakan pengantin2 foto prewedding disini,positif,none,none,positif,none,none
Banyak monyet,netral,none,none,none,none,none
Banyak monyet dan menakutkan... tolong monyetnya di didik,negatif,none,none,negatif,none,none
"Banyak monyet nya... Sayang kurang perhatian dari pemda, padahal kalau di benahi pasti bener bener bagus dan rapih",netral,none,none,negatif,none,none
"Banyak monyet yang berkeliaran, hati"" bae",netral,none,none,negatif,none,none
"Banyak monyet, berbahaya kalau bawa anak kecil harus diawasi",netral,none,none,negatif,none,none
Banyak monyet2 lucu,positif,none,none,none,none,none
Banyak monyetnya 😂 …,netral,none,none,none,none,none
Banyak nyamuk,none,none,none,netral,none,none
"Banyak nyamuk, hewannya SDH pada mati semua yg tersisa hanya burung dan hewan yg sering terlihat di perkampungan warga",negatif,none,none,negatif,none,none
"Banyak Pacet, kurang terurus",none,none,none,negatif,none,none
Banyak patung hewan.bukan hewan,netral,none,none,none,none,none
"Banyak pepohonan dan rindang, tapi keasrian kurang. Hewan2 yang ada juga tampak tertekan..",positif,none,none,negatif,none,none
Banyak permainan jg disini. Asyik dah,positif,none,none,positif,none,none
Banyak pohon,netral,none,none,none,none,none
"Banyak Pohon yg besar jadi Rindang dan sejuk, monyetnya jail",positif,none,none,positif,none,none
Banyak pohonnya......,netral,none,none,none,none,none
"Banyak reflika, pisa, jembatan ampera",positif,none,none,none,none,none
Banyak replika kota luar negeru,positif,none,none,none,none,none
"Banyak sampah, wilayah sekitar hutan kurang terawat Harus lebih diketatkan lagi Kurangnya pengawasan jika pengunjung tidak buang sampah sembarangan",none,none,none,negatif,none,none
Banyak sampahnya,none,none,none,negatif,none,none
"Banyak sekali potensi untuk dikembangkan di sini tapi sayang kurangnya perhatian pemerintah menjadikan tempat ini dirawat ala kadarnya. Terutama wc umum yg sangat jorok dan tidak layak. Wahana outbond sdh tersedia, hutan pinusnya cukup bagus, wahana tempat bermain sdh ada, tapi kenapa seperti tidak terurus, padahal ini hutan wisata tengah kota, dimana seharusnya menjadi tempat pilihan utama untuk rekreasi keluarga. Semoga kedepannya Instansi terkait bisa terbuka matanya, semoga.",positif,negatif,none,negatif,none,none
"Banyak spot bagus untuk piknik dan berswafoto, tapi terlalu banyak biaya masuk yang dikenakan, terutama jika bawa kendaraan dan anak-anak",positif,none,none,netral,none,none
Banyak spot foto bagus2 insyaallah g nyesel,positif,none,none,none,none,none
"Banyak spot foto yg bagus tapi banyak sampah, masuk bayar 10k. Kalo mau masuk replika bayar 10k lagi, sama juga kalo mau masuk rekreasi/perahu bebek. Panas soalnya ada di dataran rendah.",positif,none,none,negatif,netral,none
Banyak tempat baru Tp setiap Masuk harus bayar lagi,positif,none,none,none,netral,none
Banyak tempat hiburan dan rekreasi,positif,none,none,none,none,none
"Banyak tempat hiburan santai disini dan ada kebun binatang,bisa dibuat foto wedding outdoor dan lain2nya.",positif,none,none,none,none,none
Banyak tempat yang gak terawat dengan baik. Terutama di wahana airnya.,none,none,none,negatif,none,none
"Banyak wahana baru, setiap masuk wahana ada loket pembayaran. Lebih baik dbanding beberapa tahun yg lalu.",positif,none,none,positif,none,none
"Banyak wahana dan fasilitas umum, tapi pelayanan dibandingkan dengan harga tiket masuk tidak bisa terlalu diharapkan. Cocok untuk piknik dengan keluarga",positif,positif,none,netral,none,none
"Banyak wahana mainnya, ada flaying fox, ada replika bangunan dunia, taman bermain anak, wahana air. Teduh dan segar.",positif,none,none,positif,none,none
"Banyak wahana permainan, tempatnya luas sekali karena merupakan hutan pinus, masih asri dan masih banyak hewan2 liar yang dapat kita lihat seperti monyet. Kalau kesini harap menggunakan lotion anti nyamuk atau yang sejenisnya. Cocok untuk wisata bersama keluarga.",positif,none,none,positif,none,none
Banyak yang masih belum berevolusi menganggu kenyamanan pengunjung,none,none,none,negatif,none,none
Banyak. Hal menarik disini,positif,none,none,none,none,none
Barangnya lengkap pengiriman cepat,none,none,none,none,none,none
Bawa semua kenangan lama ke sini,none,none,none,none,none,none
Bawalah keluarga anda di daerah hijau yg bebas polusi..udara yg segar lokasi yg strategis...,none,none,none,positif,none,none
Bayar masuknya mahal setiap tempatnya mesti bayar lagi,none,none,none,none,negatif,none
"Bayar masuknya sekedar lihat ayamnya, lebih baik kunjungi ayam dekat rumahmu :v",negatif,none,none,negatif,none,none
Bc komunitas ojol,none,none,none,none,none,none
"Be careful, the monkey will come kalau ada makanan",netral,none,none,negatif,none,none
Bebek2,none,none,none,none,none,none
"Beberapa wahana sudah tidak terawat dan nampak suram, ya jadi terkesan hutan bukan taman wisata gitu.. tiketnya juga lumayan, jadi destinasi wisata ini jadi opsional lah kalau ke Palembang. Ya, saran saya sebagai pengunjung, sekiranya bisa di rawat dan buat program2 pencinta alam, dan tentu tikernya juga harus kompetitif untuk bisa dinikmati banyak pihak,",negatif,none,none,negatif,netral,none
Belum banyak perubahan,none,none,none,netral,none,none
"Belum pernah kesini, mau masuk antriannya banyak banget, kapan2 singgah ke tempat ini lagi",none,none,none,netral,none,none
bemain,none,none,none,none,none,none
Benaruuuu,none,none,none,none,none,none
bener banget,none,none,none,none,none,none
Bener2 gak ke rawat.,none,none,none,negatif,none,none
Berantakan sekali,none,none,none,negatif,none,none
Berhasil,none,none,none,none,none,none
"Bernuansa alam.. Perawatan aja yg kurang,mungkin karna dana yg minim",netral,none,none,negatif,none,none
Bersama anak2 dan keluarga cukup bagus untuk piknik ditempat ini,none,none,none,positif,none,none
Bersemangat,none,none,none,none,none,none
Bersih,none,none,none,positif,none,none
"bersih dari sampah tapi sangat disayangkan ikon kota palembang yang tidak terurus, kursi taman reot hampir roboh, wahana tidak terjamin keamanannya, semuanya bayar tapi kualitas tidak sesuai, monyet liar hampir menyerang anak kecil",negatif,negatif,none,negatif,none,none
bersih nyaman,none,none,none,positif,none,none
Berudara segar dan nyaman,none,none,none,positif,none,none
Besar,none,none,none,none,none,none
Bgs pemandangan nya,none,none,none,positif,none,none
Bgus,none,none,none,positif,none,none
Biar ada sanak sausara yang main bisamlebih hemat waktu,none,none,none,none,none,none
Biasa,none,none,none,netral,none,none
Biasa aja,none,none,none,netral,none,none
"Biasa aja, nggak rame cocok buat yang suka foto2 tapi tempatnya kurang terawat..semoga bisa lebih diperhatikan sama pemda setempat",none,none,none,negatif,none,none
"Biasa aja,mahal.nyesel cntoh kbun binatang bnyak yg palsu. Rata2 isi nya patung.klu cma ayam bebek,angsa.burung.drmh jga banyak.dan masuk ketempat lain bayar lagi..yg jelas nyesel",negatif,none,none,negatif,negatif,none
Biasa aja. Owner nya galak.,none,none,none,netral,none,negatif
Biasa saja tidak ada yang istimewa,none,none,none,netral,none,none
"Biaso be.. Hrga tiket msuk dk jlas, dk sesuai dg hrga yg di papan.. Tmpat jajan dkit.. Nyesel msuk",none,negatif,none,netral,negatif,none
Biaya masuk mahal tidak sesuai dengan ketersediaan sarana dan prasarana wisata,negatif,negatif,none,negatif,negatif,none
"Biaya masuk mahal tp nggak ada apa2, binatangnya sdh sedikit, tempatnya jg kurang terawat",negatif,none,none,negatif,negatif,none
"Biaya masuk mahal,belum di tambah biaya masuk wahana",none,none,none,none,negatif,none
"Biaya masuk nya mahal, fasilitas yang di dapat tidak sesuai ekspetasi. Semoga untuk kedepannya lebih baik lagi",none,negatif,none,negatif,negatif,none
Biaya masuk terlalu mahal,none,none,none,none,negatif,none
"Biaya masuk turis gpp mahal tapi kalau mau masuk wahana jangan dimahalin juga,okey?",none,none,none,none,negatif,none
Biaya parkir ganda,none,none,none,none,negatif,none
Binatang nya keren,positif,none,none,none,none,none
Binatangnya banyak yg kelaparan,negatif,none,none,none,none,none
Binatangnya bnyk yg kurang gizi,negatif,none,none,none,none,none
Binatangnya kurang lengkap,negatif,none,none,none,none,none
"Bintangnyo limo, tpi aku nk ngasih kritik, itu yg kandang hewan, macam musang, iguana, biawak, tolong di kondisikan lah, kandang dibersihke, banyu minum cubo diganti, dk layak huni nian kandangnyo. Jngan tiket masuk yg mahal, tpi dk direalisasikan utk perawatan hewan yg ado di kawasan punti kayu😬 tolonglah perhatiannyo boss, …",negatif,none,none,negatif,negatif,none
"Bisa berenang,ada bebek2 ada banyak jenis binatang kecil2,ada rumah hobbit...",positif,none,none,none,none,none
Bisa cek in mas jam 1,none,none,none,none,none,none
"Bisa foto-foto dan kasih makan monyet-monyet. Ada banyak tempat yang bisa dikunjungi namun harus membayar lagi di booth loket, rata-rata per booth membayar 10.000 rupiah. Mohon diperhatikan, tiket betupa gelang jangan dihilangkan ya...",positif,none,none,none,netral,none
bisa gadai barang,none,none,none,none,none,none
"Bisa jadi tempat rekreasi keluarga di bawah pepohonan pinus, diselingi kedatangan monyet mekaka..",positif,none,none,positif,none,none
Bisa lebih dimaksimalkan lagi fasilitas dan hiburan demi kenyamanan pengunjung,negatif,negatif,none,negatif,none,none
bisa lebih seru,none,none,none,positif,none,none
Bisa melihat hewan da bermain air di kolam renang nya ..,positif,none,none,none,none,none
